First_Name,Gender
tùng,1
vy,0
huy,1
vân,0
long,1
khanh,0
diệp,0
khang,1
thái,1
huy,1
vy,0
nhật,1
quỳnh,0
đức,1
tấn,1
hiếu,1
yến,0
thanh,0
chi,0
nghĩa,1
dân,0
chương,1
việt,0
việt,1
mạnh,1
nhi,0
khánh,1
huy,1
trung,1
đạt,1
giàu,1
duy,1
linh,0
phúc,1
ngọc,0
trang,0
khánh,1
thông,1
nhơn,1
dương,1
như,0
hiếu,1
trọng,1
trang,0
duy,1
ngôn,1
huân,1
hoàng,1
kiều,0
đức,1
hiền,0
nghĩa,1
thủy,0
xương,0
tú,1
duyên,0
anh,1
uyên,0
nam,1
thanh,0
linh,0
phước,1
tuấn,1
tuyền,0
tùng,1
phong,1
giàu,0
minh,1
quí,1
tài,1
danh,1
hào,1
tài,1
đạt,1
trúc,0
dũng,1
công,1
trân,0
triều,1
phương,0
anh,1
tín,1
tiên,0
kiệt,1
nguyên,0
như,0
anh,1
nhi,0
sang,1
huyền,0
ngân,0
đăng,1
khánh,1
thảo,1
toàn,1
tân,1
tú,0
liên,0
diễm,0
thiên,1
hùng,1
phi,1
hiếu,1
thoại,1
tiến,1
thắng,1
danh,1
hùng,1
thuận,1
thành,1
luân,1
tuyền,0
bảo,1
đức,1
dung,0
tài,1
huy,1
ngọc,0
bình,1
thạch,1
thức,1
lưu,1
cường,1
chương,1
tiến,1
hiếu,1
tuấn,1
phúc,1
nhân,1
thái,1
chi,0
mai,0
khoa,1
trường,1
bảo,1
hà,0
lam,1
hương,0
hảo,0
minh,1
hiền,0
thư,0
lộc,1
sáng,1
văn,1
phương,0
tiến,1
trung,1
phúc,1
đơn,0
phương,0
trầm,0
thắng,1
trinh,0
huệ,1
thuận,0
nữ,0
việt,1
giang,0
minh,1
hương,0
huyền,0
anh,0
quân,1
bình,0
anh,1
tuấn,1
đức,1
tài,1
trí,1
nhung,0
mơ,0
trâm,0
huân,1
sang,0
giàu,1
thiên,0
trang,0
nam,1
cường,1
nhàn,1
vinh,1
thiệu,1
như,0
duy,1
trung,1
liên,0
thi,1
huy,1
hiền,0
huỳnh,1
trúc,0
huyền,0
tuyền,0
bình,1
hiếu,1
vinh,1
hoàng,1
thuận,1
an,1
hưng,1
anh,0
hòa,1
minh,1
nhung,0
vi,0
ngân,0
ánh,0
nhơn,1
tiến,1
khang,1
châu,0
nguyên,1
dũng,1
hưng,1
hạnh,0
trúc,0
trinh,0
minh,1
vân,0
trân,0
huyền,0
tài,1
luân,1
dung,0
hiền,1
thi,1
mỹ,0
khuyên,0
linh,0
huy,1
khoa,0
trinh,0
tài,1
thanh,1
dũng,1
tuấn,1
nghĩa,1
đại,1
như,0
quân,1
ngân,0
hạnh,0
khang,1
lệ,0
khôi,1
khôi,1
khoa,1
