Middle_Name,Gender
xuân,1
dương thảo,0
thế,1
thị,0
minh,1
mai,0
thị hồng,0
hoàng,1
ngọc,1
anh,1
mai tường,0
minh,1
trúc,0
minh,1
ngọc,1
minh,1
thị kim,0
thị,0
thị lệ,0
tấn,1
kim,0
lý minh,1
thị,0
xuân,1
đức,1
thị yến,0
quốc,1
nhật,1
đức,1
huỳnh tiến,1
ngọc,1
quốc,1
thái mỹ,0
thị yến,0
thị,0
văn,1
minh,1
ngọc hiếu,1
minh,1
thị quỳnh,0
võ anh,1
văn,1
thị,0
võ anh,1
thanh,1
thiện,1
huy,1
thị thúy,0
đình,1
thị diệu,0
giang đại,1
nguyễn thu,0
thị khảo,0
đoàn anh,1
huỳnh,0
quốc,1
ngọc mỹ,0
tiến,1
thị thanh,0
thị thùy,0
hoàng thiên,1
quang,1
thị thanh,0
xuân,1
ngô huy,1
thị ngọc,0
như,1
thanh,1
trọng,1
công,1
trương quang,1
hữu,1
thành,1
thị bích,0
thành trung,1
ngọc,1
thị huyền,0
thị,1
thị mỹ,0
viễn hoàng,1
đức,1
thị cẩm,0
anh,1
mai thảo,0
thị huỳnh,0
hoàng,1
thị yến,0
tuấn,1
thị thu,0
trà kim,0
đặng hải,1
trọng,1
thanh,1
thanh,1
nhựt,1
thị cẩm,0
ái,0
thị kiều,0
minh,1
văn,1
hồng,1
thanh,1
minh,1
minh,1
hải,1
công,1
mạnh,1
ngọc,1
minh,1
song,1
ánh xuân,0
thiên,1
việt,1
thị thùy,0
quý,1
hoàng,1
khánh,0
văn,1
ngọc,1
trọng,1
sắc,1
chí,1
phúc,1
công quyết,1
minh,1
nhật,1
hoàng,1
đức,1
duy,1
thị kim,0
thị lệ,0
anh,1
quang,1
đình,1
thị thu,0
nhị,1
thùy,0
thị mỹ,0
vũ,1
thu,0
thị thanh,0
phước,1
nguyễn,1
công,1
thị,0
nhật,1
quang,1
hoàng bảo,1
trần giản,0
thị ngọc,0
tuyết,0
võ đức,1
thị tú,0
thị hải,1
thị kim,0
thị mỹ,0
tấn,1
nữ châu,0
hoàng,1
thị quỳnh,0
thị,0
huỳnh,0
nguyễn hồng,1
thị cẩm,0
thế,1
anh,1
ngọc tấn,1
lê minh,1
thị hồng,0
thị thu,0
thị anh,0
hoàng,1
như,0
văn,1
khắc nguyên,0
thị huỳnh,0
võ hoàng,1
anh vĩnh,1
thanh,1
xuân,1
hàm,1
ngọc quỳnh,0
nhật,1
tiến,1
thị kim,0
anh,1
thị thu,0
đình,1
giang nhã,0
thị thanh,0
thị ngọc,0
thái,1
phạm đào minh,1
quang,1
trọng,1
nguyễn,1
quốc,1
thành,1
tú,0
minh,1
thị hồng,0
thị,0
kim,0
thị ngọc,0
văn,1
ngọc,1
nhật,1
thị ngọc,0
như,1
văn,1
ngọc,1
ngọc,0
thị thanh,0
thị mỹ,0
bảo,1
thị thúy,0
khánh bảo,0
thu,0
tam,1
vũ,1
thị thùy,0
di,1
minh,1
thị ái,0
thị mộng,0
phương,0
quang,1
thị minh,0
thị hoài,0
đức,1
văn,1
tiến,1
văn,1
quang,1
nguyễn ngọc,1
quỳnh,0
thiện,1
kim,0
thị,0
duy,1
thị mỹ,0
ngọc,1
đăng,1
duy,1
văn,1
trần sơn,1
thị kim,0
đức,1
thị thúy,0
nguyễn đức,1
mạnh,1
thị trúc,0
nhật,1
ngọc thanh,0
thị thảo,0
thị,0
minh,1
triều,1
thị bích,0
hoài,1
phan khiết,0
dương thu,0
huỳnh,1
phạm thanh,0
thái tuấn,1
hoàng,1
quang,1
quyết,1
thị,0
hào,1
thị kim,0
hoàng,1
thùy,0
thị thu,0
yến,0
lễ quế,0
thị thanh,0
minh,1
thanh,1
minh,1
ngọc trúc,0
tấn,1
quyền,1
đức,1
trần anh,1
